Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Travel Point,A/C Seater / Sleeper (2+2),16:00,05:20,13h 20m,1424.0,50 Seats available,2.8,https://www.redbus.in/bus-tickets/dalhousie-to-delhi,Dalhousie to Delhi
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,17:47,02:00,08h 13m,910.0,30 Seats available,3.7,https://www.redbus.in/bus-tickets/solan-to-delhi,Solan to Delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),21:30,04:30,07h 00m,499.0,42 Seats available,4.6,https://www.redbus.in/bus-tickets/solan-to-delhi,Solan to Delhi
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,05:30,06h 30m,450.0,30 Seats available,4.7,https://www.redbus.in/bus-tickets/solan-to-delhi,Solan to Delhi
Bedi Travels,Volvo 9600 A/C Semi Sleeper (2+2),20:15,07:45,11h 30m,702.0,20 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-palampur,Delhi to Palampur
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),20:00,07:00,11h 00m,680.0,19 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-palampur,Delhi to Palampur
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),19:00,06:00,11h 00m,699.0,26 Seats available,4.5,https://www.redbus.in/bus-tickets/delhi-to-palampur,Delhi to Palampur
Bedi Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),19:00,05:30,10h 30m,585.0,26 Seats available,4.8,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,Dharamshala (Himachal Pradesh) to Delhi
Ram Dalal Holidays,Volvo 9600 Multi Axle Semi-Sleeper (2+2),20:38,06:30,09h 52m,567.0,41 Seats available,4.7,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,Dharamshala (Himachal Pradesh) to Delhi
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,06:30,09h 30m,799.0,23 Seats available,4.7,https://www.redbus.in/bus-tickets/dharamshala-to-delhi,Dharamshala (Himachal Pradesh) to Delhi
RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,03:00,12:13,09h 13m,910.0,30 Seats available,3.7,https://www.redbus.in/bus-tickets/delhi-to-solan,Delhi to Solan
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,06:40,07h 15m,499.0,7 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-solan,Delhi to Solan
Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,06:45,07h 45m,450.0,28 Seats available,4.9,https://www.redbus.in/bus-tickets/delhi-to-solan,Delhi to Solan
HRTC - 1513,Ordinary 3+2 Non AC Seater,04:40,19:00,14h 20m,768.0,27 Seats available,3.9,https://www.redbus.in/bus-tickets/chandigarh-to-reckong-peo-himachal-pradesh,Chandigarh to Reckong Peo (Himachal Pradesh)
HRTC - 1509,Ordinary 3+2 Non AC Seater,18:00,06:20,12h 20m,768.0,22 Seats available,2.8,https://www.redbus.in/bus-tickets/chandigarh-to-reckong-peo-himachal-pradesh,Chandigarh to Reckong Peo (Himachal Pradesh)
HRTC - 1512,Ordinary 3+2 Non AC Seater,19:00,09:00,14h 00m,766.0,37 Seats available,2.7,https://www.redbus.in/bus-tickets/chandigarh-to-reckong-peo-himachal-pradesh,Chandigarh to Reckong Peo (Himachal Pradesh)
KRISHNA TRANSPORT SHIMLA,NON A/C Seater Push Back (2+2),08:30,17:15,08h 45m,640.0,25 Seats available,3.2,https://www.redbus.in/bus-tickets/manali-to-shimla,Manali to Shimla
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),18:50,05:30,10h 40m,855.0,28 Seats available,4.6,https://www.redbus.in/bus-tickets/palampur-to-delhi,Palampur to Delhi
New Himalaya Travels,Volvo A/C Semi Sleeper (2+2),19:35,06:15,10h 40m,670.0,18 Seats available,4.6,https://www.redbus.in/bus-tickets/palampur-to-delhi,Palampur to Delhi
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),19:20,06:00,10h 40m,899.0,42 Seats available,4.4,https://www.redbus.in/bus-tickets/palampur-to-delhi,Palampur to Delhi
Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),00:00,07:15,07h 15m,873.0,4 Seats available,3.5,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),00:15,06:15,06h 00m,500.0,25 Seats available,3.1,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Semi Sleeper (2+2),00:18,08:29,08h 11m,1093.0,36 Seats available,4.3,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
FlixBus,A/C Seater (2+2),00:20,06:00,05h 40m,230.0,23 Seats available,4.0,https://www.redbus.in/bus-tickets/chandigarh-to-kullu,Chandigarh to Kullu
FlixBus,A/C Seater (2+2),18:40,00:55,06h 15m,411.0,35 Seats available,3.3,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:10,01:00,05h 50m,599.0,30 Seats available,4.7,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
Zingbus Plus,Volvo Multi-Axle A/C Semisleeper (2+2),19:35,00:15,04h 40m,570.0,39 Seats available,5.0,https://www.redbus.in/bus-tickets/kangra-to-chandigarh,Kangra to Chandigarh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),02:00,06:10,04h 10m,699.0,1 Seat available,4.7,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
Everest Holidays,Volvo A/C Semi Sleeper (2+2),00:40,06:00,05h 20m,450.0,29 Seats available,0.0,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
Ram Dalal Holidays,,02:00,05:55,03h 55m,860.0,3 Seats available,4.7,https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Chandigarh to Hamirpur (Himachal Pradesh)
KRISHNA TRANSPORT SHIMLA,NON A/C Seater Push Back (2+2),08:20,16:30,08h 10m,640.0,25 Seats available,3.4,https://www.redbus.in/bus-tickets/shimla-to-manali,Shimla to Manali
Ram Dalal Holidays,Volvo 9600 Multi Axle Semi-Sleeper (2+2),21:45,08:10,10h 25m,693.0,45 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-dharamshala,Delhi to Dharamshala (Himachal Pradesh)
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,09:00,11h 00m,699.0,28 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-dharamshala,Delhi to Dharamshala (Himachal Pradesh)
Ram Dalal Holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:30,06:40,11h 10m,630.0,41 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-dharamshala,Delhi to Dharamshala (Himachal Pradesh)
RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,21:15,04h 45m,432.0,30 Seats available,3.6,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Shimla to Chandigarh
City Land Travels,Volvo A/C Semi Sleeper (2+2),10:00,13:15,03h 15m,440.0,41 Seats available,4.6,https://www.redbus.in/bus-tickets/shimla-to-chandigarh,Shimla to Chandigarh
Chandigarh Transport Undertaking (CTU) - 165943,HVAC Seater (2+3),10:45,17:45,07h 00m,512.39,37 Seats available,4.2,https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala,Chandigarh to Dharamshala (Himachal Pradesh)
